2023-07-13,19:49,인천,9.6,43,1.4,11.5
2023-07-13,19:49,인천,18.6,0,8.0,15.4
2023-07-13,19:49,고양,11.4,28,4.9,26.1
2023-07-13,19:49,대구,25.5,51,2.1,21.9
2023-07-13,19:49,창원,19.3,78,4.4,27.8
2023-07-13,19:49,창원,9.0,30,4.7,29.9
2023-07-13,19:49,대구,-2.8,81,2.0,7.6
2023-07-13,19:49,용인,-4.6,12,7.8,20.7
2023-07-13,19:49,창원,15.8,61,1.5,2.6
2023-07-13,19:49,대구,15.1,27,4.7,24.6
2023-07-13,19:49,성남,28.9,39,3.7,4.7
2023-07-13,19:49,울산,24.2,28,1.4,12.5
2023-07-13,19:49,고양,32.8,6,2.5,1.5
2023-07-13,19:49,화성,15.0,0,7.7,21.6
2023-07-13,19:49,남양주,10.6,12,5.1,10.1
2023-07-13,19:49,광주,-7.8,53,6.6,26.8
2023-07-13,19:49,안양,22.7,41,3.6,2.6
2023-07-13,19:49,수원,4.3,94,0.5,7.6
2023-07-13,19:49,부천,-6.8,64,0.2,12.4
2023-07-13,19:49,전주,-9.5,8,8.8,1.4
2023-07-13,19:49,세종,30.8,12,1.7,12.5
2023-07-13,19:49,성남,22.1,15,7.8,19.0
2023-07-13,19:49,청주,0.0,84,9.2,14.6
2023-07-13,19:49,화성,34.7,44,3.9,11.6
2023-07-13,19:49,부천,13.8,8,8.5,15.8
2023-07-13,19:49,청주,28.7,99,4.0,8.3
2023-07-13,19:49,용인,6.6,45,7.9,17.2
2023-07-13,19:49,부산,23.6,61,9.7,14.6
2023-07-13,19:49,부천,25.7,53,1.8,11.7
2023-07-13,19:49,부천,-8.4,17,2.4,6.1
2023-07-13,19:49,남양주,14.0,71,3.3,4.7
2023-07-13,19:49,창원,5.6,33,5.8,25.7
2023-07-13,19:49,인천,-9.9,24,2.6,13.7
2023-07-13,19:49,남양주,36.0,39,0.7,5.2
2023-07-13,19:49,인천,29.7,27,4.1,8.3
2023-07-13,19:49,부천,37.0,20,6.3,4.6
2023-07-13,19:49,화성,28.9,43,4.7,19.1
2023-07-13,19:49,서울,26.6,19,4.9,21.3
2023-07-13,19:49,부천,1.6,57,6.6,9.1
2023-07-13,19:49,안양,16.5,39,7.6,1.8
2023-07-13,19:49,용인,-1.0,37,6.2,22.3
2023-07-13,19:49,화성,13.6,95,9.6,28.2
2023-07-13,19:49,인천,5.4,13,3.7,2.7
2023-07-13,19:49,남양주,17.8,30,7.2,2.9
2023-07-13,19:49,세종,11.7,26,8.5,13.9
2023-07-13,19:49,울산,25.7,17,2.7,4.4
2023-07-13,19:49,고양,13.3,23,3.7,25.0
2023-07-13,19:49,대구,10.8,21,5.3,21.1
2023-07-13,19:49,성남,15.5,72,5.1,4.8
2023-07-13,19:49,부산,17.0,19,1.3,4.1
2023-07-13,19:49,울산,2.4,83,9.8,17.8
2023-07-13,19:49,수원,10.6,7,1.8,15.2
2023-07-13,19:49,안양,31.9,51,6.2,17.3
2023-07-13,19:49,대구,39.7,71,4.1,11.8
2023-07-13,19:49,용인,27.3,29,0.9,6.2
2023-07-13,19:49,광주,-2.7,24,1.4,11.6
2023-07-13,19:49,전주,31.0,90,2.1,23.9
2023-07-13,19:49,창원,35.8,5,7.1,19.9
2023-07-13,19:49,울산,1.6,13,1.0,8.0
2023-07-13,19:49,성남,16.9,62,7.5,8.9
2023-07-13,19:49,광주,18.7,45,9.3,25.1
2023-07-13,19:49,광주,-1.8,70,9.3,12.4
2023-07-13,19:49,광주,13.4,51,7.6,27.8
2023-07-13,19:49,화성,31.8,8,6.1,22.3
2023-07-13,19:49,광주,37.6,6,0.4,3.7
2023-07-13,19:49,포항,23.2,26,6.0,7.7
2023-07-13,19:49,전주,26.8,92,2.2,25.0
2023-07-13,19:49,창원,-3.7,63,3.2,21.1
2023-07-13,19:49,전주,35.9,3,9.4,17.5
2023-07-13,19:49,창원,3.4,61,5.6,25.4
2023-07-13,19:49,수원,12.6,61,1.8,17.1
2023-07-13,19:49,부산,31.0,34,4.5,0.7
2023-07-13,19:49,부산,29.7,7,6.5,0.9
2023-07-13,19:49,포항,20.8,98,2.2,15.8
2023-07-13,19:49,세종,37.1,4,8.0,3.6
2023-07-13,19:49,창원,-6.4,2,1.4,2.0
2023-07-13,19:49,성남,6.5,12,3.2,18.0
2023-07-13,19:49,고양,-7.1,7,7.5,18.7
2023-07-13,19:49,남양주,-9.5,10,2.2,13.0
2023-07-13,19:49,전주,32.7,100,6.5,5.3
2023-07-13,19:49,포항,4.8,14,2.3,18.1
2023-07-13,19:49,광주,10.7,23,3.7,20.8
2023-07-13,19:49,용인,23.7,80,0.3,26.5
2023-07-13,19:49,세종,30.7,24,2.6,28.7
2023-07-13,19:49,대전,34.2,33,8.1,28.5
2023-07-13,19:49,창원,27.9,89,7.2,7.9
2023-07-13,19:49,서울,-1.1,64,8.6,0.8
2023-07-13,19:49,대전,35.3,46,5.5,5.4
2023-07-13,19:49,부산,-3.9,31,3.9,26.8
2023-07-13,19:49,성남,-8.4,73,8.8,15.9
2023-07-13,19:49,울산,2.6,38,1.0,2.0
2023-07-13,19:49,전주,39.0,47,7.1,7.1
2023-07-13,19:49,부천,9.4,23,7.4,17.9
2023-07-13,19:49,대구,13.4,59,7.5,14.8
2023-07-13,19:49,창원,16.8,48,6.3,9.1
2023-07-13,19:49,용인,22.7,89,6.9,11.1
2023-07-13,19:49,울산,4.8,15,6.6,22.2
2023-07-13,19:49,대구,15.4,30,2.8,29.6
2023-07-13,19:49,화성,6.6,76,5.4,19.0
2023-07-13,19:49,부천,32.8,98,2.1,8.0
2023-07-13,19:49,대구,11.3,77,3.2,17.9
2023-07-13,19:49,인천,-7.6,46,9.8,16.7
2023-07-13,19:49,성남,24.9,71,0.4,23.8
2023-07-13,19:49,안양,22.3,81,7.3,14.8
2023-07-13,19:49,고양,7.6,71,2.9,23.7
2023-07-13,19:49,창원,14.2,85,8.2,22.6
2023-07-13,19:49,울산,-8.5,61,4.5,24.9
2023-07-13,19:49,포항,34.5,35,7.6,17.0
2023-07-13,19:49,포항,16.6,88,4.2,21.8
